iter,alpha,coverage,set_size,conditional_coverage,mse
<built-in function iter>,0.1,0.8879,3.378848162101676,0.7385099886572767,1.0895709554749682
<built-in function iter>,0.18888888888888888,0.7964,2.6933377903436324,0.6372686158132657,1.0895709554749682
<built-in function iter>,0.2777777777777778,0.7128,2.2479172290021703,0.5302571396305936,1.0895709554749682
<built-in function iter>,0.3666666666666667,0.6238,1.8795509603376743,0.4647301150447031,1.0895709554749682
<built-in function iter>,0.4555555555555556,0.5336,1.5588970674042717,0.38022901065844433,1.0895709554749682
<built-in function iter>,0.5444444444444445,0.4445,1.2638977293045892,0.2732146202557964,1.0895709554749682
<built-in function iter>,0.6333333333333333,0.3574,1.0024599311409619,0.16372868196917656,1.0895709554749682
<built-in function iter>,0.7222222222222222,0.2737,0.7465348529862342,0.07103189387762898,1.0895709554749682
<built-in function iter>,0.8111111111111111,0.1904,0.5161011834018943,0.049905180650748227,1.0895709554749682
<built-in function iter>,0.9,0.1066,0.2857958072236829,0.011390835091644846,1.0895709554749682
